casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,city,lat,lon,neighborhood
2017-00119280,1,N  Main St At Branch Ave,11,Traffic Violation,2017-11-12 16:09:00,DCastigliego,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,other_crime,Providence,41.8420469,-71.4079105,Mount Hope
2017-00119280,1,N  Main St At Branch Ave,11,Traffic Violation,2017-11-12 16:09:00,DCastigliego,31-23.3-5,Windshield/Window - Owner/Operating w/Unlawful Sunscreen Material,2017,other_crime,Providence,41.8420469,-71.4079105,Mount Hope
2017-00119273,1,319 Manton Ave,11,"Assault, Aggravated",2017-11-12 15:33:00,SMarmas,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2017,violent_crime,Providence,41.8231247,-71.4504601,Olneyville
2017-00119260,1,250 Lloyd Ave,11,Larceny from Motor Vehicle,2017-11-12 14:36:19,RByfield,11-41-1,LARCENY/U $1500 - FROM MV,2017,property_crime,Providence,41.833723,-71.397297,College Hill
2017-00119258,1,Tanner St At Pearl St,11,Arson,2017-11-12 14:32:19,ITavarez,11-4-3,ARSON-2ND DEGREE,2017,property_crime,Providence,41.812043,-71.4157931,Upper South Providence
2017-00119257,1,189 Academy Ave,11,Vandalism,2017-11-12 14:24:00,JAndrade,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.829979,-71.443896,Valley
2017-00119255,1,589 Cranston St,11,"Larceny, Other",2017-11-12 14:12:57,JRodrigues,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,property_crime,Providence,41.8076271,-71.4355305,West End Providence
2017-00119253,1,442 Manton Ave,11,Vandalism,2017-11-12 14:08:49,LAndreozzi,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.8249623,-71.4547271,
2017-00119244,1,53 Roanoke St,11,Burglary,2017-11-12 13:40:00,JAndrade,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,property_crime,Providence,41.8316574,-71.4467033,Mount Pleasant
2017-00119246,1,1303 N  Main St,11,Larceny from Motor Vehicle,2017-11-12 13:30:04,WMann,11-41-1,LARCENY/O $1500 - FROM MV,2017,property_crime,Providence,41.85607539999999,-71.3992998,Hope
