LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.4389239,41.7778032,295,AUBURN ST,,CRANSTON,,,,64531,69079db445ea5bc5
-71.4418962,41.7759925,109,CONCORD AV,,CRANSTON,,,,64538,2dfa705535908a9f
-71.4459969,41.8028487,408,WEBSTER AV,,CRANSTON,,,,64559,2c616407f26f7cf5
-71.4458244,41.8028277,410,WEBSTER AV,,CRANSTON,,,,64560,f713106fb3fcec55
-71.4456875,41.801087,946,CRANSTON ST,,CRANSTON,,,,64574,60213054cc208f07
-71.445771,41.8009942,950,CRANSTON ST,,CRANSTON,,,,64575,fa35182b27c0c889
-71.4466618,41.7999963,984,CRANSTON ST,,CRANSTON,,,,64576,157e9febc40d831c
-71.4457833,41.8026859,414,WEBSTER AV,,CRANSTON,,,,64561,a6107d738ca57bc9
-71.4450247,41.801677,924,CRANSTON ST,,CRANSTON,,,,64563,6000d5863ff967b3
-71.4453638,41.8048876,92,GRANT AV,,CRANSTON,,,,64449,4bcc05260c6923b0
-71.4450348,41.8050053,87,GRANT AV,,CRANSTON,,,,64450,e5a0985af1003951
-71.4443083,41.8038764,49,GRANT AV,,CRANSTON,,,,64451,1d173b15ac754a61
-71.4466916,41.8058653,63,BAILEY ST,,CRANSTON,,,,64465,383558744d8c0b57
-71.446501,41.8059235,55,BAILEY ST,,CRANSTON,,,,64466,bc7d5ed1f0f37644
-71.4463229,41.8059677,49,BAILEY ST,,CRANSTON,,,,64467,e17a8abd46b092e3
-71.4458807,41.8067111,59,HILLWOOD ST,,CRANSTON,,,,64482,e78191436244c8c1
-71.447674,41.8046209,341,WEBSTER AV,,CRANSTON,,,,64550,cb289505843ad217
-71.447407,41.7830027,1117,PARK AV,,CRANSTON,,,,64278,1a78074fbfeefcdd
-71.4459087,41.7828427,1083,PARK AV,,CRANSTON,,,,64280,5f8cd528d88ff0fc
-71.4364403,41.7742469,121,RICHARD ST,,CRANSTON,,,,64303,15b2849ab8f19df9
-71.4589786,41.785816,104,VERMONT ST,,CRANSTON,,,,64335,256ac166916949a8
-71.4600914,41.7857287,79,VERMONT ST,,CRANSTON,,,,64337,67bd76f620ecc2cf
-71.462812,41.7868886,20,NEW HAMPSHIRE ST,,CRANSTON,,,,64346,dab4057955f19686
-71.4478022,41.7984577,1038,CRANSTON ST,,CRANSTON,,,,64582,94931454e8cb5fbb
-71.4577846,41.7852372,947,DYER AV,,CRANSTON,,,,64598,81918edd355deaed
-71.4645606,41.7895053,92,CHESTER AV,,CRANSTON,,,,64608,f52ea9c95a54616b
-71.466867,41.7883797,77,URBANA ST,,CRANSTON,,,,64627,5f61e1487592d375
-71.4758817,41.7820583,12,BELLEVUE DR,,CRANSTON,,,,64640,69d3bf64565c09f4
-71.4775092,41.7825042,35,GREENFIELD ST,,CRANSTON,,,,64643,b38defd49ef3f776
-71.4392011,41.7786631,44,WOLLASTON ST,,CRANSTON,,,,64659,ccb96feac2ff0115
-71.4436896,41.7778577,42,IVANHOE ST,,CRANSTON,,,,64674,c00d2b602084bb35
-71.4378843,41.7814668,3,LAMBERT ST,,CRANSTON,,,,64378,abdbad19da258599
-71.4378483,41.7793854,880,PARK AV,,CRANSTON,,,,64380,e88ee1da1a3e8db9
-71.4338942,41.7844603,55,GREYLOCK AV,,CRANSTON,,,,64385,0fec062b119ceb7c
-71.4441859,41.8025241,891,CRANSTON ST,,CRANSTON,,,,64394,02ec7d5d7470c214
-71.4444698,41.8051395,70,LINCOLN AV,,CRANSTON,,,,64405,4aa12716f384793b
-71.4430372,41.8048086,63,LINCOLN AV,,CRANSTON,,,,64410,4e9e5dbf7bb1cb51
-71.4429187,41.8045265,57 1/2,LINCOLN AV,,CRANSTON,,,,64412,5d017a66b1720f4f
-71.4429918,41.8042943,51,LINCOLN AV,,CRANSTON,,,,64414,5d03a6fb0c9bd136
-71.4430644,41.803951,39 1/2,LINCOLN AV,,CRANSTON,,,,64419,347313c6a456d2e6
-71.4579658,41.8017692,448,DYER AV,,CRANSTON,,,,64588,2fb9b5e8918f6ffa
-71.4637219,41.7893679,26,VALLONE RD,,CRANSTON,,,,64606,b689de5f416a7913
-71.465721,41.7866185,37,MATHEWSON ST,,CRANSTON,,,,64620,e626c622fcbdb6de
